"image","caption","entities","relations"
"3713.png","A diagram showing the human digestive system with labeled parts.","pharynx; liver; anus; gallbladder; small intestine; large intestine; salivary glands; mouth; esophagus; stomach; pancreas; image of Pharynx","pharynx → image of Pharynx; liver → image of Pharynx; anus → image of Pharynx; gallbladder → image of Pharynx; small intestine → image of Pharynx; large intestine → image of Pharynx; salivary glands → image of Pharynx; mouth → image of Pharynx; esophagus → image of Pharynx; stomach → image of Pharynx; pancreas → image of Pharynx"
"3714.png","A diagram showing the human digestive system with labeled parts.","lleum; liver*; salivary glands*; pharynx; stomach; pancreas*; (spleen); transverse colon; ascending colon; sigmoid colon; rectum; appendix; gallbladder*; descending colon; cecum; anal canal; large intestine; anus; small intestine; duodenum; jejunum; esophagus; 2013 pearson education, inc.; tongue*; mouth (oral cavity); submandibular gland; parotid gland; sublingual gland; image of Head","lleum → image of Head; liver* → image of Head; salivary glands* → image of Head; pharynx → image of Head; stomach → image of Head; pancreas* → image of Head; (spleen) → image of Head; transverse colon → image of Head; ascending colon → image of Head; sigmoid colon → image of Head; rectum → image of Head; appendix → image of Head; gallbladder* → image of Head; descending colon → image of Head; cecum → image of Head; anal canal → image of Head; large intestine → image of Head; anus → image of Head; small intestine → image of Head; duodenum → image of Head; jejunum → image of Head; esophagus → image of Head; 2013 pearson education, inc. → I0; tongue* → image of Head; mouth (oral cavity) → image of Head; submandibular gland → image of Head; parotid gland → image of Head; sublingual gland → image of Head"
"3715.png","A diagram showing the human digestive system with labeled parts.","oral cavity; teeth; pancreas; small intestine; large intestine; anus; rectum; tongue; parotid (salivary) gland; pharynx; esophagus; liver; - stomach; gallbladder; duodenum; image of Digestive system","oral cavity → image of Digestive system; teeth → image of Digestive system; pancreas → image of Digestive system; small intestine → image of Digestive system; large intestine → image of Digestive system; anus → image of Digestive system; rectum → image of Digestive system; tongue → image of Digestive system; parotid (salivary) gland → image of Digestive system; pharynx → image of Digestive system; esophagus → image of Digestive system; liver → image of Digestive system; - stomach → image of Digestive system; gallbladder → image of Digestive system; duodenum → image of Digestive system"
"3716.png","A diagram showing the human digestive system. the digestive system is the title.","the digestive system; salivary glands:; healthy gut guide; rectum; anus; appendix; gallbladder; liver; pharynx; tongue; oral cavity; parotid; sublingual; submandibular; esophagus; stomach; pancreas; large intestine; small intestine; image of Head","salivary glands: → image of Head; rectum → image of Head; anus → image of Head; appendix → image of Head; gallbladder → image of Head; liver → image of Head; pharynx → image of Head; tongue → image of Head; oral cavity → image of Head; parotid → image of Head; sublingual → image of Head; submandibular → image of Head; esophagus → image of Head; stomach → image of Head; pancreas → image of Head; large intestine → image of Head; small intestine → image of Head"
"3717.png","A diagram showing the human digestive system.","epiglottis; oesophagus; cecum; jejunum; duodenum; small intestine; ileum; bile duct; gallbladder; diaphram; liver; diagrampic.com; stomach; pancreas; transverse colon; descending colon; sigmoid colon; rectum; ascending colon; appendix; image of Digestive system","epiglottis → image of Digestive system; oesophagus → image of Digestive system; cecum → image of Digestive system; jejunum → image of Digestive system; duodenum → image of Digestive system; small intestine → image of Digestive system; ileum → image of Digestive system; bile duct → image of Digestive system; gallbladder → image of Digestive system; diaphram → image of Digestive system; liver → image of Digestive system; diagrampic.com → I0; stomach → image of Digestive system; pancreas → image of Digestive system; transverse colon → image of Digestive system; descending colon → image of Digestive system; sigmoid colon → image of Digestive system; rectum → image of Digestive system; ascending colon → image of Digestive system; appendix → image of Digestive system"
"3718.png","A diagram showing the human digestive system","nasal cavity; mouth (oral cavity); jejunum; rectum; lleum; sigmold colon; anus; parotid gland; pharynx; esophagus; liver; gallbladder; tooth; duodenum; ascending colon; cecum; appendix; submandibular gland; sublingual gland; tongue; stomach; descending colon; transverse colon; pancreas; image of Digestive system","nasal cavity → image of Digestive system; mouth (oral cavity) → image of Digestive system; jejunum → image of Digestive system; rectum → image of Digestive system; lleum → image of Digestive system; sigmold colon → image of Digestive system; anus → image of Digestive system; parotid gland → image of Digestive system; pharynx → image of Digestive system; esophagus → image of Digestive system; liver → image of Digestive system; gallbladder → image of Digestive system; tooth → image of Digestive system; duodenum → image of Digestive system; ascending colon → image of Digestive system; cecum → image of Digestive system; appendix → image of Digestive system; submandibular gland → image of Digestive system; sublingual gland → image of Digestive system; tongue → image of Digestive system; stomach → image of Digestive system; descending colon → image of Digestive system; transverse colon → image of Digestive system; pancreas → image of Digestive system"
"3719.png","A diagram showing the human digestive system.","stomach; gallbladder; copyright the mcgraw-hill companies, inc. permission required for reproduction or display.; salivary gland; pharynx; salivary gland; esophagus; liver; pancreas; small intestine; cecum; appendix; rectum; anus; colon; image of Salivary gland","stomach → image of Salivary gland; gallbladder → image of Salivary gland; copyright the mcgraw-hill companies, inc. permission required for reproduction or display. → I0; salivary gland → image of Salivary gland; pharynx → image of Salivary gland; salivary gland → image of Salivary gland; esophagus → image of Salivary gland; liver → image of Salivary gland; pancreas → image of Salivary gland; small intestine → image of Salivary gland; cecum → image of Salivary gland; appendix → image of Salivary gland; rectum → image of Salivary gland; anus → image of Salivary gland; colon → image of Salivary gland"
"3720.png","A diagram showing the human digestive system.","pharynx; oesophagus; descending colon; sigmoid colon; duodenum; ascending colon; ileum; caecum; appendix; anus; rectum; mouth; salivary gland; stomach; liver; gall bladder; bile duct; pancreas; transverse colon; image of Pharynx","pharynx → image of Pharynx; oesophagus → image of Pharynx; descending colon → image of Pharynx; sigmoid colon → image of Pharynx; duodenum → image of Pharynx; ascending colon → image of Pharynx; ileum → image of Pharynx; caecum → image of Pharynx; appendix → image of Pharynx; anus → image of Pharynx; rectum → image of Pharynx; mouth → image of Pharynx; salivary gland → image of Pharynx; stomach → image of Pharynx; liver → image of Pharynx; gall bladder → image of Pharynx; bile duct → image of Pharynx; pancreas → image of Pharynx; transverse colon → image of Pharynx"
"3721.png","A diagram showing the human digestive system with labeled parts.The image has a title: normal digestive system.","pancreas; small intestine; large intestine (colon); appendix; stomach; rectum; normal digestive system; copyright (c) 2005 mckesson corportation and/or one of its subsidaries. all rights reserved.; parotid gland; salivary gland; esophagus; liver; gallbladder; image of Liver","pancreas → image of Liver; small intestine → image of Liver; large intestine (colon) → image of Liver; appendix → image of Liver; stomach → image of Liver; rectum → image of Liver; rectum → image of Liver; copyright (c) 2005 mckesson corportation and/or one of its subsidaries. all rights reserved. → I0; parotid gland → image of Liver; salivary gland → image of Liver; esophagus → image of Liver; liver → image of Liver; gallbladder → image of Liver"
"3722.png","A diagram showing the human digestive system","pharynx; esophagus; ileum; stomach; transverse colon; descending colon; jejunum; sigmoid colon; rectum; anus; mouth; tongue; pancreas; liver; gallbladder; duodenum; ascending colon; appendix; image of Digestive system","pharynx → image of Digestive system; esophagus → image of Digestive system; ileum → image of Digestive system; stomach → image of Digestive system; transverse colon → image of Digestive system; descending colon → image of Digestive system; jejunum → image of Digestive system; sigmoid colon → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system; mouth → image of Digestive system; tongue → image of Digestive system; pancreas → image of Digestive system; liver → image of Digestive system; gallbladder → image of Digestive system; duodenum → image of Digestive system; ascending colon → image of Digestive system; appendix → image of Digestive system"
"3723.png","A diagram showing the human digestive system","mouth -; salivary gland-; anus-; caecum; colon; duodenum; gall bladder; liver -; oesophagus; pharynx; -salivary gland; stomach; - pancreas; lleum; -rectum; appendix; image of Salivary gland","mouth - → image of Salivary gland; salivary gland- → image of Salivary gland; anus- → image of Salivary gland; caecum → image of Salivary gland; colon → image of Salivary gland; duodenum → image of Salivary gland; gall bladder → image of Salivary gland; liver - → image of Salivary gland; oesophagus → image of Salivary gland; pharynx → image of Salivary gland; -salivary gland → image of Salivary gland; stomach → image of Salivary gland; - pancreas → image of Salivary gland; lleum → image of Salivary gland; -rectum → image of Salivary gland; appendix → image of Salivary gland"
"3724.png","A diagram showing the human digestive system","tongue; salivary glands; small intestine; large intestine; anus; rectum; appendix; cecum; small intestine; gall-bladder; pancreas; ascending portion of large intestine; liver; oral cavity; esophagus; pharynx; sphincter; stomach; sphincter; duodenum of small intestine; image of Intestines; image of Upper Digestive; image of Stomach Detail","tongue → image of Upper Digestive; salivary glands → image of Upper Digestive; small intestine → image of Upper Digestive; large intestine → image of Upper Digestive; anus → image of Upper Digestive; rectum → image of Upper Digestive; appendix → image of Intestines; cecum → image of Intestines; small intestine → image of Intestines; gall-bladder → image of Upper Digestive; pancreas → image of Upper Digestive; ascending portion of large intestine → image of Intestines; liver → image of Upper Digestive; oral cavity → image of Upper Digestive; esophagus → image of Upper Digestive; pharynx → image of Upper Digestive; sphincter → image of Stomach Detail; stomach → image of Stomach Detail; sphincter → image of Stomach Detail; duodenum of small intestine → image of Stomach Detail"
"3725.png","A diagram showing the human digestive system. the digestive system  is the title.","the digestive system ; salivary glands ; esophagus ; stomach; colon; small intestine ; pancreas ; gallbladder; liver; image of Digestive tract","salivary glands  → image of Digestive tract; esophagus  → image of Digestive tract; stomach → image of Digestive tract; colon → image of Digestive tract; small intestine  → image of Digestive tract; pancreas  → image of Digestive tract; gallbladder → image of Digestive tract; liver → image of Digestive tract"
"3726.png","A diagram showing the human digestive system","pharynx; esophagus; sigmoid colon; rectum; anus; ileum; ascending colon; duodenum; gallbladder; mouth; tongue; pancreas; liver; stomach; transverse colon; descending colon; jejunum; image of Digestive system","pharynx → image of Digestive system; esophagus → image of Digestive system; sigmoid colon → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system; ileum → image of Digestive system; ascending colon → image of Digestive system; duodenum → image of Digestive system; gallbladder → image of Digestive system; mouth → image of Digestive system; tongue → image of Digestive system; pancreas → image of Digestive system; liver → image of Digestive system; stomach → image of Digestive system; transverse colon → image of Digestive system; descending colon → image of Digestive system; jejunum → image of Digestive system"
"3727.png","A diagram showing the human digestive system","salivary gland; pharynx; anus; cecum; appendix; salivary gland; esophagus; gallbladder; liver; stomach; pancreas; small intestine; rectum; image of Digestive system","salivary gland → image of Digestive system; pharynx → image of Digestive system; anus → image of Digestive system; cecum → image of Digestive system; appendix → image of Digestive system; salivary gland → image of Digestive system; esophagus → image of Digestive system; gallbladder → image of Digestive system; liver → image of Digestive system; stomach → image of Digestive system; pancreas → image of Digestive system; small intestine → image of Digestive system; rectum → image of Digestive system"
"3728.png","A diagram showing the human digestive system within an outline of a human body","1; 2; 3; 4; 5; 6; 7; 10; 8; image of Digestive system","1 → image of Digestive system; 2 → image of Digestive system; 3 → image of Digestive system; 4 → image of Digestive system; 5 → image of Digestive system; 6 → image of Digestive system; 7 → image of Digestive system; 10 → image of Digestive system; 8 → image of Digestive system"
"3729.png","A diagram showing the human digestive system","b; a; image of Esophagus","b → image of Esophagus; a → image of Esophagus"
"3730.png","A diagram showing the digestive system of a horse","cecum (9.5 in. - 0.5 gal.); large intestine (16ft. - 2 gal)); esophagus; small intestine (60ft. - 2.5 gal.); stomach (2 gal); image of Esophagus","cecum (9.5 in. - 0.5 gal.) → image of Esophagus; large intestine (16ft. - 2 gal)) → image of Esophagus; esophagus → image of Esophagus; small intestine (60ft. - 2.5 gal.) → image of Esophagus; stomach (2 gal) → image of Esophagus"
"3731.png","A diagram showing the human digestive system","esophagus; stomach ; pancreas ; large intestine ; rectum ; anus ; small intestine ; appendix ; liver ; image of Digestive system","esophagus → image of Digestive system; stomach  → image of Digestive system; pancreas  → image of Digestive system; large intestine  → image of Digestive system; rectum  → image of Digestive system; anus  → image of Digestive system; small intestine  → image of Digestive system; appendix  → image of Digestive system; liver  → image of Digestive system"
"3732.png","A diagram showing the human digestive system","t; u; v; w; image of Profile","t → image of Profile; u → image of Profile; v → image of Profile; w → image of Profile"
"3733.png","A diagram showing the human digestive system","(a); (b); (c); (d); image of Digestive system","(a) → image of Digestive system; (b) → image of Digestive system; (c) → image of Digestive system; (d) → image of Digestive system"
"3734.png","A diagram showing the human digestive system with labeled parts.","(i); (ii); (iii); (iv); (v); image of Head","(i) → image of Head; (ii) → image of Head; (iii) → image of Head; (iv) → image of Head; (v) → image of Head"
"3735.png","A diagram showing the human digestive system","mouth; salivary gland; oesophagus; stomach; pancreas; large intestine; liver; small intestine; image of Digestive System","mouth → image of Digestive System; salivary gland → image of Digestive System; oesophagus → image of Digestive System; stomach → image of Digestive System; pancreas → image of Digestive System; large intestine → image of Digestive System; liver → image of Digestive System; small intestine → image of Digestive System"
"3736.png","A diagram showing the human digestive system with labeled parts","c; image of Digestive system","c → image of Digestive system"
"3737.png","A diagram showing the human digestive system with labeled parts.","a; b; d; image of Digestive system","a → image of Digestive system; b → image of Digestive system; d → image of Digestive system"
"3738.png","A diagram showing the human digestive system","a; b; c; d; image of Digestive tract","a → image of Digestive tract; b → image of Digestive tract; c → image of Digestive tract; d → image of Digestive tract"
"3739.png","A diagram showing the human digestive system with labeled parts","a; b; c; d; e; image of Mouth","a → image of Mouth; b → image of Mouth; c → image of Mouth; d → image of Mouth; e → image of Mouth"
"3740.png","A diagram showing the human digestive system","salivary glands; esophagus; liver; gallbladder; large intestine; rectum; small intestine; pancreas; stomach; image of Digestive system","salivary glands → image of Digestive system; salivary glands → image of Digestive system; esophagus → image of Digestive system; liver → image of Digestive system; gallbladder → image of Digestive system; large intestine → image of Digestive system; rectum → image of Digestive system; small intestine → image of Digestive system; pancreas → image of Digestive system; stomach → image of Digestive system"
"3742.png","A diagram showing the human digestive system","1; 2.; 3; 4; 5; image of Digestive system","1 → image of Digestive system; 2. → image of Digestive system; 3 → image of Digestive system; 4 → image of Digestive system; 5 → image of Digestive system"
"3743.png","A diagram showing the human digestive system with labeled parts.","a; b; e; f; c; d; image of Digestive system","a → image of Digestive system; b → image of Digestive system; e → image of Digestive system; f → image of Digestive system; c → image of Digestive system; d → image of Digestive system"
"3744.png","A diagram showing the human digestive system","9; 6; 12; 11; 10;  - 1; 2; 3; 4; 5; 7; 8; 9; image of Outline","9 → image of Outline; 6 → image of Outline; 12 → image of Outline; 11 → image of Outline; 10 → image of Outline;  - 1 → image of Outline; 2 → image of Outline; 3 → image of Outline; 4 → image of Outline; 5 → image of Outline; 7 → image of Outline; 8 → image of Outline; 9 → image of Outline"
"3745.png","A diagram showing the human digestive system","b; a; image of Digestive system","b → image of Digestive system; a → image of Digestive system"
"3746.png","A diagram showing the human digestive system.","liver; esophagus; stomach; pancreas; large intestine; small intestine; appendix; rectum; anus; image of Esophagus","liver → image of Esophagus; esophagus → image of Esophagus; stomach → image of Esophagus; pancreas → image of Esophagus; large intestine → image of Esophagus; small intestine → image of Esophagus; appendix → image of Esophagus; rectum → image of Esophagus; anus → image of Esophagus"
"3747.png","A diagram showing the human digestive system with labeled parts.","parotid gland and duct; pharynx; sigmoid colon; rectum; anus; esophagus; liver; hepatic duct; gallbladder; common bile duct; duodenum; hepatic flexure of colon; sublingual and submandibular glands and ducts; ascending colon; ileocecal junction; cecum; appendix; stomach; pancreas; splenic flexure of colon; transverse colon; jejunum; descending colon; ileum; image of Head profile","parotid gland and duct → image of Head profile; pharynx → image of Head profile; sigmoid colon → image of Head profile; rectum → image of Head profile; anus → image of Head profile; esophagus → image of Head profile; liver → image of Head profile; hepatic duct → image of Head profile; gallbladder → image of Head profile; common bile duct → image of Head profile; duodenum → image of Head profile; hepatic flexure of colon → image of Head profile; sublingual and submandibular glands and ducts → image of Head profile; ascending colon → image of Head profile; ileocecal junction → image of Head profile; cecum → image of Head profile; appendix → image of Head profile; stomach → image of Head profile; pancreas → image of Head profile; splenic flexure of colon → image of Head profile; transverse colon → image of Head profile; jejunum → image of Head profile; descending colon → image of Head profile; ileum → image of Head profile"
"3748.png","A diagram showing the human digestive system within an outline of a human body","a; b; c; d; e; image of Outline","a → image of Outline; b → image of Outline; c → image of Outline; d → image of Outline; e → image of Outline"
"3749.png","A diagram showing the human respiratory system","nose; mouth; trachea; lungs; diaphragm; image of Respiratory system","nose → image of Respiratory system; mouth → image of Respiratory system; trachea → image of Respiratory system; lungs → image of Respiratory system; diaphragm → image of Respiratory system"
"3750.png","A diagram showing the human respiratory system","pulmones; nariz; boca; traquea; diafragma; image of Anatomy labels","pulmones → image of Anatomy labels; nariz → image of Anatomy labels; boca → image of Anatomy labels; traquea → image of Anatomy labels; diafragma → image of Anatomy labels"
"3751.png","A diagram showing the respiratory system of a human body.","sinus; tongue; larynx; bronchiole (airway); trachea (windpipe); diaphragm; alveoli (air sacs); epiglottis; pharynx; lungs; image of Anatomy labels","sinus → image of Anatomy labels; tongue → image of Anatomy labels; larynx → image of Anatomy labels; bronchiole (airway) → image of Anatomy labels; trachea (windpipe) → image of Anatomy labels; diaphragm → image of Anatomy labels; alveoli (air sacs) → image of Anatomy labels; epiglottis → image of Anatomy labels; pharynx → image of Anatomy labels; lungs → image of Anatomy labels; lungs → image of Anatomy labels"
"3752.png","A diagram showing the human respiratory system.Titled as respiratory system.","right lung; respiratory system; left lung; pleura; bronchioles (small airways); alveoli (air sacs); copyright © 2005 mckesson health solutions, llc, all rights reserved; nasal cavity; mouth; epiglottis; thyroid cartilage; trachea (windpipe); pharynx (throat); bronchial tubes; image of Respiratory anatomy","right lung → image of Respiratory anatomy; left lung → image of Respiratory anatomy; pleura → image of Respiratory anatomy; bronchioles (small airways) → image of Respiratory anatomy; bronchioles (small airways) → image of Respiratory anatomy; alveoli (air sacs) → image of Respiratory anatomy; alveoli (air sacs) → image of Respiratory anatomy; copyright © 2005 mckesson health solutions, llc, all rights reserved → I0; nasal cavity → image of Respiratory anatomy; mouth → image of Respiratory anatomy; epiglottis → image of Respiratory anatomy; thyroid cartilage → image of Respiratory anatomy; trachea (windpipe) → image of Respiratory anatomy; pharynx (throat) → image of Respiratory anatomy; bronchial tubes → image of Respiratory anatomy"
"3753.png","A diagram showing the different lobes of the lungs.The title is: lung lobes.","superior lobes; middle lobe; inferior lobes; cardiac notch; hilum of trachea; dr.asir john samuel (pt); lung lobes; image of Lung lobes","superior lobes → I0; middle lobe → I0; inferior lobes → I0; cardiac notch → image of Lung lobes; hilum of trachea → image of Lung lobes; dr.asir john samuel (pt) → I0"
"3754.png","A diagram showing the human head with a focus on the respiratory and auditory systems.","oral cavity; tongue; tonsils; spine (backbone); esophagus; sinus; nasal cavity; epiglottis; larynx (voice box); trachea (windpipe); middle ear; sinus; auditory (eustachian) tube; pharynx (throat); opening of auditory tube; image of Head profile","oral cavity → image of Head profile; tongue → image of Head profile; tonsils → image of Head profile; spine (backbone) → image of Head profile; esophagus → image of Head profile; sinus → image of Head profile; nasal cavity → image of Head profile; epiglottis → image of Head profile; larynx (voice box) → image of Head profile; trachea (windpipe) → image of Head profile; middle ear → image of Head profile; sinus → image of Head profile; auditory (eustachian) tube → image of Head profile; pharynx (throat) → image of Head profile; opening of auditory tube → image of Head profile"
"3755.png","A diagram showing the human respiratory system with a detailed view of the lung structure.","lymph node; upper lobe; vein; alveoli; bronchiole; trachea; bronchi; right lung:; middle lobe; lower lobe; diaphragm; left lung:; upper lobe; lower lobe; artery; image of Respiratory system","lymph node → image of Respiratory system; upper lobe → image of Respiratory system; trachea → image of Respiratory system; bronchi → image of Respiratory system; right lung: → image of Respiratory system; middle lobe → image of Respiratory system; lower lobe → image of Respiratory system; diaphragm → image of Respiratory system; left lung: → image of Respiratory system; upper lobe → image of Respiratory system; lower lobe → image of Respiratory system"
"3756.png","A diagram showing the human respiratory system","nasal cavity; trachea; alveolar sacs and alveoli; bronchiole; right lung; pharynx; epiglottis; larynx; bronchus; left lung; pleura; diaphragm; image of Upper respiratory; image of Alveoli","nasal cavity → image of Upper respiratory; trachea → image of Upper respiratory; alveolar sacs and alveoli → image of Alveoli; bronchiole → image of Alveoli; right lung → image of Upper respiratory; pharynx → image of Upper respiratory; epiglottis → image of Upper respiratory; larynx → image of Upper respiratory; bronchus → image of Upper respiratory; left lung → image of Upper respiratory; pleura → image of Upper respiratory; diaphragm → image of Upper respiratory"
"3757.png","A diagram showing the human respiratory system","nasal cavity; left lung; heart; pharynx; larynx; esophagus; trachea; right lung; bronchus; bronchiole; diaphragm; image of Anatomy labels","nasal cavity → image of Anatomy labels; left lung → image of Anatomy labels; heart → image of Anatomy labels; pharynx → image of Anatomy labels; larynx → image of Anatomy labels; esophagus → image of Anatomy labels; trachea → image of Anatomy labels; right lung → image of Anatomy labels; bronchus → image of Anatomy labels; bronchiole → image of Anatomy labels; diaphragm → image of Anatomy labels"
"3758.png","A diagram showing the components of the human respiratory system. The title is: the respiratory system.","the respiratory system; nasal cavity; diaphragm; right lung; nostril; epiglottis; larynx; pleural cavity; pharynx; trachea; primary bronchus; left lung; image of Respiratory system","nasal cavity → image of Respiratory system; diaphragm → image of Respiratory system; right lung → image of Respiratory system; nostril → image of Respiratory system; epiglottis → image of Respiratory system; larynx → image of Respiratory system; pleural cavity → image of Respiratory system; pharynx → image of Respiratory system; trachea → image of Respiratory system; primary bronchus → image of Respiratory system; left lung → image of Respiratory system"
"3759.png","A diagram showing the respiratory system of a human body.","nasal cavity plus ; larynx; bronchi; alveoli; left lung ; diaphragm; trachea; carina of trachea; right main (primary) bronchus; right lung ; parietal pleura(and visceral pleura covers lung surfaces themselves); oral cavity; pharynx; left main(primary bronchus; image of Respiratory system","nasal cavity plus  → image of Respiratory system; larynx → image of Respiratory system; bronchi → image of Respiratory system; alveoli → image of Respiratory system; left lung  → image of Respiratory system; diaphragm → image of Respiratory system; trachea → image of Respiratory system; carina of trachea → image of Respiratory system; right main (primary) bronchus → image of Respiratory system; right lung  → image of Respiratory system; parietal pleura(and visceral pleura covers lung surfaces themselves) → image of Respiratory system; oral cavity → image of Respiratory system; pharynx → image of Respiratory system; left main(primary bronchus → image of Respiratory system"
"3760.png","A diagram showing the human respiratory system","oral cavity; pharynx; right main (primary bronchus); left main (primary) bronchus; left lung; diaphragm; larynx; nostril; nasal cavity; trachea; carina of trachea; image of Nasal cavity","oral cavity → image of Nasal cavity; pharynx → image of Nasal cavity; right main (primary bronchus) → image of Nasal cavity; right main (primary bronchus) → image of Nasal cavity; left main (primary) bronchus → image of Nasal cavity; left lung → image of Nasal cavity; diaphragm → image of Nasal cavity; larynx → image of Nasal cavity; nostril → image of Nasal cavity; nasal cavity → image of Nasal cavity; trachea → image of Nasal cavity; carina of trachea → image of Nasal cavity"
"3761.png","A diagram showing the human respiratory system and a close-up view of the alveoli structure.","nasal cavity; trachea; pleura; alveolar sacs and alveoli; right lung; bronchiole; larynx; pharynx; epiglottis; bronchus; left lung; diaphragm; image of Alveoli; image of Respiratory system","nasal cavity → image of Respiratory system; trachea → image of Respiratory system; pleura → image of Respiratory system; alveolar sacs and alveoli → image of Alveoli; right lung → image of Respiratory system; bronchiole → image of Alveoli; larynx → image of Respiratory system; pharynx → image of Respiratory system; epiglottis → image of Respiratory system; bronchus → image of Respiratory system; left lung → image of Respiratory system; diaphragm → image of Respiratory system"
"3762.png","A diagram showing the human respiratory system. the respiratory system is the title.","epiglottis; pharynx; diaphragm; pleura; right lung; the respiratory system; nasal cavity; oral cavity; tongue; larynx; trachea; bronchus; left lung; image of Head","epiglottis → image of Head; pharynx → image of Head; diaphragm → image of Head; pleura → image of Head; right lung → image of Head; nasal cavity → image of Head; oral cavity → image of Head; tongue → image of Head; larynx → image of Head; trachea → image of Head; bronchus → image of Head; left lung → image of Head"
"3763.png","A diagram showing the human respiratory system and related structures","frontal sinus; oral cavity; trachea; superior lobe; bronchioles; alveoli; inferior lobe; diaphragm; nasal cavity; bronchus; middle lobe; heart; sphenoid sinus; epiglottis; pharynx; larynx; image of Frontal Sinus","frontal sinus → image of Frontal Sinus; oral cavity → image of Frontal Sinus; trachea → image of Frontal Sinus; superior lobe → image of Frontal Sinus; bronchioles → image of Frontal Sinus; alveoli → image of Frontal Sinus; inferior lobe → image of Frontal Sinus; diaphragm → image of Frontal Sinus; nasal cavity → image of Frontal Sinus; bronchus → image of Frontal Sinus; middle lobe → image of Frontal Sinus; heart → image of Frontal Sinus; sphenoid sinus → image of Frontal Sinus; epiglottis → image of Frontal Sinus; pharynx → image of Frontal Sinus; larynx → image of Frontal Sinus"
"3764.png","A diagram showing the human respiratory system with labeled parts, excluding a blurred face.Titled as respiratory system diseases and disorders.","mouth & nose; oropharnyx; diaphragm; respiratory system diseases and disorders; luke lyon; nasopharynx; nasal passageways; pharynx; epiglottis; carina; larynx; trachea; bronchiole; alveolus; bronchus; image of Nasopharynx","mouth & nose → image of Nasopharynx; oropharnyx → image of Nasopharynx; diaphragm → image of Nasopharynx; luke lyon → I0; nasopharynx → image of Nasopharynx; nasal passageways → image of Nasopharynx; pharynx → image of Nasopharynx; epiglottis → image of Nasopharynx; carina → image of Nasopharynx; larynx → image of Nasopharynx; trachea → image of Nasopharynx; bronchiole → image of Nasopharynx; alveolus → image of Nasopharynx; bronchus → image of Nasopharynx"
"3765.png","A diagram showing the respiratory system. the respiratory system is the title.","the respiratory system; pharynx; bronchi; bronchioles; trachea; larynx; nose; lung; lung; image of Respiratory system","pharynx → image of Respiratory system; bronchi → image of Respiratory system; bronchioles → image of Respiratory system; bronchioles → image of Respiratory system; trachea → image of Respiratory system; larynx → image of Respiratory system; nose → image of Respiratory system; lung → image of Respiratory system; lung → image of Respiratory system"
"3766.png","A diagram showing the human respiratory system. Titled as respiratory system.","right lung; bronchial tubes; trachea (windpipe); nasal cavity; pieura; thyroid cartilage; pharynx-(throat); copyright (c) 2005 mckinnen health solutions, llc all rights reserved; respiratory system; mouth; bronchioles (small airways); left lung; epiglottis; alveol (air sacs); image of Anatomy","right lung → image of Anatomy; bronchial tubes → image of Anatomy; trachea (windpipe) → image of Anatomy; nasal cavity → image of Anatomy; pieura → image of Anatomy; thyroid cartilage → image of Anatomy; pharynx-(throat) → image of Anatomy; copyright (c) 2005 mckinnen health solutions, llc all rights reserved → I0; mouth → image of Anatomy; bronchioles (small airways) → image of Anatomy; left lung → image of Anatomy; epiglottis → image of Anatomy; alveol (air sacs) → image of Anatomy"
"3767.png","A diagram showing the human respiratory system with a sectional view of the left lung.","heart; epiglottis; cut end of rib; bronchus; figure 1. diagrammatic view of human respiratory system (sectional view of the left lung is also shown); larynx; trachea; pleural membranes; alveoli; pleural fluid; bronchiole; diaphragm; lung; image of Heart","heart → image of Heart; epiglottis → image of Heart; cut end of rib → image of Heart; cut end of rib → image of Heart; bronchus → image of Heart; figure 1. diagrammatic view of human respiratory system (sectional view of the left lung is also shown) → I0; larynx → image of Heart; trachea → image of Heart; pleural membranes → image of Heart; alveoli → image of Heart; pleural fluid → image of Heart; bronchiole → image of Heart; diaphragm → image of Heart; lung → image of Heart"
"3768.png","A diagram showing the human respiratory system","nasopharynx; nasal cavity; glottis; left primary bronchus; left lung; base of left lung; diaphragm; right lung; pleural cavity; visceral pleura; parietal pleura; base of right lung; hyoid bone; thyroid cartilage; trachea; cricoid cartilage; right primary bronchus; oropharynx; epiglottis; larynx; image of Respiratory system","nasopharynx → image of Respiratory system; nasal cavity → image of Respiratory system; glottis → image of Respiratory system; left primary bronchus → image of Respiratory system; base of left lung → image of Respiratory system; pleural cavity → image of Respiratory system; visceral pleura → image of Respiratory system; parietal pleura → image of Respiratory system; base of right lung → image of Respiratory system; hyoid bone → image of Respiratory system; thyroid cartilage → image of Respiratory system; trachea → image of Respiratory system; cricoid cartilage → image of Respiratory system; right primary bronchus → image of Respiratory system; oropharynx → image of Respiratory system; epiglottis → image of Respiratory system; larynx → image of Respiratory system"
"3769.png","A diagram showing the human respiratory system with a close-up of the bronchioles.","pharynx; trachea; lungs; bronchioles; close-up of bronchioles; mouth; nose; bronchus; lungs; diaphragm; image of Respiratory system","pharynx → image of Respiratory system; trachea → image of Respiratory system; lungs → image of Respiratory system; bronchioles → image of Respiratory system; close-up of bronchioles → image of Respiratory system; mouth → image of Respiratory system; nose → image of Respiratory system; bronchus → image of Respiratory system; lungs → image of Respiratory system; diaphragm → image of Respiratory system"
